steps,duration,action,undefined,converged,polarized,uid
25000,764.8487012386322,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,753.1386618614197,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,764.0404090881348,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,743.9700703620911,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,767.1911194324493,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,795.5623018741608,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,852.5048303604126,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,827.4738030433655,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,842.3341519832611,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
25000,849.7984750270844,?,False,False,False,5e4b6c5e4cc44f39a516e8169f4b3b1f
