steps,duration,action,undefined,converged,polarized,uid
25000,703.7356617450714,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,698.5495276451111,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,728.9732911586761,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,730.0179963111877,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,725.606746673584,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,743.2104542255402,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,722.2850351333618,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,747.0150172710419,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,726.2822568416595,?,False,False,False,c556073676e3452bbf1b9066534e5caa
25000,696.8939797878265,?,False,False,False,c556073676e3452bbf1b9066534e5caa
