steps,duration,action,undefined,converged,polarized,uid
25000,816.9186041355133,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,845.3812780380249,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,810.7906651496887,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,819.9303686618805,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,761.6185944080353,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,741.3012847900391,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,733.311267375946,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,731.1866445541382,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,727.689774274826,?,False,False,False,c3f3ce10143141929b2bab13911392a8
25000,734.9053556919098,?,False,False,False,c3f3ce10143141929b2bab13911392a8
