steps,duration,action,undefined,converged,polarized,uid
25000,774.7197561264038,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,790.9073345661163,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,819.4950890541077,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,838.0467071533203,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,854.6689851284027,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,852.0120320320129,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,794.5143687725067,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,782.0254101753235,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,874.6988251209259,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
25000,796.5349960327148,?,False,False,False,48b51452a73249b1bbdbd391f859a8e6
