steps,duration,action,undefined,converged,polarized,uid
25000,759.5419490337372,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,744.9400124549866,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,756.5684456825256,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,736.8901948928833,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,720.9052300453186,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,731.6796178817749,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,731.3449070453644,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,738.2171716690063,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,722.0750408172607,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
25000,726.2910616397858,?,False,False,False,958eee027bc84fce99b7bc2be33c56c6
