steps,duration,action,undefined,converged,polarized,uid
25000,748.1969172954559,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,732.5304005146027,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,755.7405023574829,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,741.9975125789642,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,741.4977169036865,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,733.7875056266785,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,736.2405805587769,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,738.6234345436096,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,745.0981838703156,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
25000,726.689512014389,?,False,False,False,98e33747c96c42edbf14a2abf8bad9c1
