steps,duration,action,undefined,converged,polarized,uid
25000,744.2963745594025,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,719.8798341751099,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,713.9539425373077,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,714.6050143241882,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,740.0004987716675,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,722.0374293327332,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,738.7288866043091,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,750.5789122581482,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,730.5143623352051,?,False,False,False,c6a231987929429ab5325090a5a5fd28
25000,729.6859064102173,?,False,False,False,c6a231987929429ab5325090a5a5fd28
