steps,duration,action,undefined,converged,polarized,uid
25000,753.8618168830872,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,747.8153674602509,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,742.6805620193481,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,736.2273283004761,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,738.9364006519318,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,734.2197060585022,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,725.4551117420197,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,740.7996709346771,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,721.6113693714142,?,False,False,False,d7669be65b2b498f989066d9d7494896
25000,726.3828301429749,?,False,False,False,d7669be65b2b498f989066d9d7494896
