steps,duration,action,undefined,converged,polarized,uid
25000,786.7069668769836,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,826.2870299816132,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,808.6247999668121,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,801.6638851165771,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,853.963399887085,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,843.586030960083,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,831.7260353565216,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,834.2973330020905,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,876.236515045166,?,False,False,False,d2f7b536d2de400da29096855872b944
25000,838.3081483840942,?,False,False,False,d2f7b536d2de400da29096855872b944
