steps,duration,action,undefined,converged,polarized,uid
25000,734.9583277702332,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,721.7594385147095,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,734.7934427261353,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,724.6604695320129,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,727.3607213497162,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,725.1209797859192,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,719.3697247505188,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,731.726936340332,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,725.1023259162903,?,False,False,False,942f5225afb54457af17d52d186093e3
25000,719.442102432251,?,False,False,False,942f5225afb54457af17d52d186093e3
