steps,duration,action,undefined,converged,polarized,uid
25000,743.35129570961,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,752.9259688854218,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,744.3713817596436,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,758.5475878715515,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,761.3272788524628,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,753.868866443634,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,736.6991925239563,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,763.2793762683868,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,751.707596540451,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
25000,758.4284601211548,?,False,False,False,783bdd1d2bd446bcbe10b911225c0d3b
