steps,duration,action,undefined,converged,polarized,uid
25000,770.3834524154663,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,738.2612633705139,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,728.6340954303741,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,722.6841764450073,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,726.8533616065979,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,751.9552183151245,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,718.8024728298187,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,731.9671726226807,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,751.5400817394257,?,False,False,False,ab76377d8c8649edab947070fbce4be9
25000,744.6000559329987,?,False,False,False,ab76377d8c8649edab947070fbce4be9
