steps,duration,action,undefined,converged,polarized,uid
25000,699.6627278327942,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,711.9395778179169,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,681.4526238441467,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,724.4590923786163,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,715.7944474220276,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,711.7263538837433,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,703.4138314723969,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,703.2382428646088,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,701.3341002464294,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
25000,745.1412515640259,?,False,False,False,93e141c5cf254692bcc2428a32ae0590
