steps,duration,action,undefined,converged,polarized,uid
25000,700.2680728435516,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,707.580367565155,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,697.4472894668579,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,706.1179621219635,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,707.8874816894531,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,697.5533409118652,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,734.3147258758545,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,720.7015662193298,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,728.9055302143097,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
25000,737.8036403656006,?,False,False,False,3a9e9221a3f547c486397bcb0ab424f8
