steps,duration,action,undefined,converged,polarized,uid
25000,751.0498540401459,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,752.5242319107056,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,765.8814136981964,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,760.3195743560791,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,753.8823294639587,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,761.7083332538605,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,727.129650592804,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,746.9202735424042,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,771.7896339893341,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
25000,769.1411552429199,?,False,False,False,d40dc9302b8b4e528c4a6d0ae1ccd682
