steps,duration,action,undefined,converged,polarized,uid
25000,857.8588764667511,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,847.323401927948,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,886.464115858078,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,851.9211266040802,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,793.7564902305603,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,784.5688478946686,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,745.7777404785156,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,770.1023519039154,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,775.8967452049255,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
25000,762.6756355762482,?,False,False,False,ccd58c4656874ade8e72480fe0134cdc
